경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
127,2021.12.29,삼성화재,3:0,75,56,1h 20m,win,018,우리카드
194,2022.02.11,삼성화재,1:3,85,94,1h 51m,lose,018,우리카드
230,2022.03.23,삼성화재,3:0,75,63,1h 25m,win,018,우리카드
37,2021.11.06,KB손해보험,0:3,67,78,1h 33m,lose,018,우리카드
45,2021.11.11,KB손해보험,3:2,108,109,2h 22m,win,018,우리카드
95,2021.12.10,KB손해보험,1:3,84,95,1h 51m,lose,018,우리카드
151,2022.01.12,KB손해보험,3:1,95,79,1h 48m,win,018,우리카드
185,2022.02.05,KB손해보험,0:3,58,75,1h 23m,lose,018,우리카드
219,2022.03.14,KB손해보험,2:3,103,106,2h 18m,lose,018,우리카드
15,2021.10.24,현대캐피탈,1:3,95,98,2h 04m,lose,018,우리카드
71,2021.11.26,현대캐피탈,2:3,107,106,2h 17m,lose,018,우리카드
101,2021.12.14,현대캐피탈,3:1,101,91,2h 08m,win,018,우리카드
163,2022.01.19,현대캐피탈,2:3,102,103,2h 20m,lose,018,우리카드
169,2022.01.28,현대캐피탈,2:3,109,99,2h 16m,lose,018,우리카드
225,2022.03.20,현대캐피탈,3:2,102,103,2h 17m,win,018,우리카드
21,2021.10.28,한국전력,3:0,75,58,1h 23m,win,018,우리카드
57,2021.11.18,한국전력,3:1,95,89,1h 56m,win,018,우리카드
113,2021.12.21,한국전력,3:0,78,65,1h 30m,win,018,우리카드
143,2022.01.07,한국전력,3:0,75,61,1h 21m,win,018,우리카드
189,2022.02.08,한국전력,3:1,97,85,1h 57m,win,018,우리카드
234,2022.03.27,한국전력,3:1,93,84,1h 52m,win,018,우리카드
238,2022.04.01,한국전력,1:3,94,98,2h 14m,lose,018,우리카드
9,2021.10.21,OK금융그룹,2:3,109,112,2h 22m,lose,018,우리카드
65,2021.11.23,OK금융그룹,0:3,60,75,1h 21m,lose,018,우리카드
109,2021.12.18,OK금융그룹,3:0,75,64,1h 29m,win,018,우리카드
157,2022.01.15,OK금융그룹,2:3,97,104,2h 18m,lose,018,우리카드
212,2022.03.07,OK금융그룹,2:3,99,106,2h 15m,lose,018,우리카드
216,2022.03.11,OK금융그룹,3:1,98,83,1h 58m,win,018,우리카드
