경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
144,2022.01.07,KGC인삼공사,3:1,96,84,1h 57m,win,18,흥국생명
190,2022.02.08,KGC인삼공사,3:0,75,64,1h 26m,win,18,흥국생명
2,2021.10.16,GS 칼텍스,0:3,68,77,1h 29m,lose,18,흥국생명
52,2021.11.14,GS 칼텍스,0:3,54,75,1h 21m,lose,18,흥국생명
86,2021.12.04,GS 칼텍스,0:3,66,79,1h 29m,lose,18,흥국생명
136,2022.01.02,GS 칼텍스,1:3,85,96,1h 49m,lose,18,흥국생명
178,2022.02.01,GS 칼텍스,0:3,56,75,1h 15m,lose,18,흥국생명
228,2022.03.21,GS 칼텍스,0:3,63,75,1h 26m,lose,18,흥국생명
10,2021.10.21,IBK기업은행,3:1,97,83,2h 01m,win,18,흥국생명
66,2021.11.23,IBK기업은행,0:3,64,77,1h 33m,lose,18,흥국생명
110,2021.12.18,IBK기업은행,3:0,79,72,1h 34m,win,18,흥국생명
158,2022.01.15,IBK기업은행,2:3,107,111,2h 13m,lose,18,흥국생명
203,2022.02.26,IBK기업은행,0:3,53,75,1h 20m,lose,18,흥국생명
207,2022.03.02,IBK기업은행,3:1,96,92,1h 55m,win,18,흥국생명
30,2021.11.02,페퍼저축은행,3:1,105,101,2h 07m,win,18,흥국생명
80,2021.12.01,페퍼저축은행,3:1,99,81,1h 49m,win,18,흥국생명
122,2021.12.25,페퍼저축은행,3:1,99,87,1h 56m,win,18,흥국생명
128,2021.12.29,페퍼저축은행,3:1,99,83,1h 51m,win,18,흥국생명
195,2022.02.11,페퍼저축은행,1:3,82,93,1h 53m,lose,18,흥국생명
32,2021.11.03,한국도로공사,3:0,75,62,1h 30m,win,18,GS 칼텍스
68,2021.11.24,한국도로공사,2:3,103,111,2h 26m,lose,18,GS 칼텍스
112,2021.12.19,한국도로공사,1:3,82,96,1h 58m,lose,18,GS 칼텍스
166,2022.01.20,한국도로공사,1:3,83,94,1h 59m,lose,18,GS 칼텍스
172,2022.01.29,한국도로공사,3:0,75,60,1h 27m,win,18,GS 칼텍스
40,2021.11.07,KGC인삼공사,1:3,84,104,2h 03m,lose,18,GS 칼텍스
78,2021.11.30,KGC인삼공사,3:0,75,54,1h 22m,win,18,GS 칼텍스
120,2021.12.24,KGC인삼공사,1:3,101,101,2h 08m,lose,18,GS 칼텍스
154,2022.01.13,KGC인삼공사,3:1,96,91,1h 57m,win,18,GS 칼텍스
205,2022.02.28,KGC인삼공사,3:0,78,52,1h 19m,win,18,GS 칼텍스
2,2021.10.16,흥국생명,3:0,77,68,1h 29m,win,18,GS 칼텍스
52,2021.11.14,흥국생명,3:0,75,54,1h 21m,win,18,GS 칼텍스
86,2021.12.04,흥국생명,3:0,79,66,1h 29m,win,18,GS 칼텍스
136,2022.01.02,흥국생명,3:1,96,85,1h 49m,win,18,GS 칼텍스
178,2022.02.01,흥국생명,3:0,75,56,1h 15m,win,18,GS 칼텍스
228,2022.03.21,흥국생명,3:0,75,63,1h 26m,win,18,GS 칼텍스
26,2021.10.30,IBK기업은행,3:1,98,78,1h 49m,win,18,GS 칼텍스
74,2021.11.27,IBK기업은행,3:0,75,61,1h 24m,win,18,GS 칼텍스
104,2021.12.15,IBK기업은행,3:0,75,43,1h 12m,win,18,GS 칼텍스
142,2022.01.06,IBK기업은행,3:0,77,68,1h 26m,win,18,GS 칼텍스
193,2022.02.10,IBK기업은행,0:3,67,79,1h 22m,lose,18,GS 칼텍스
12,2021.10.22,페퍼저축은행,3:0,75,48,1h 08m,win,18,GS 칼텍스
60,2021.11.19,페퍼저축은행,3:0,75,55,1h 18m,win,18,GS 칼텍스
92,2021.12.08,페퍼저축은행,3:0,75,60,1h 26m,win,18,GS 칼텍스
148,2022.01.09,페퍼저축은행,3:0,75,53,1h 17m,win,18,GS 칼텍스
201,2022.02.24,페퍼저축은행,3:0,75,58,1h 17m,win,18,GS 칼텍스
18,2021.10.26,한국도로공사,1:3,74,95,1h 54m,lose,18,IBK 기업은행
82,2021.12.02,한국도로공사,0:3,50,75,1h 17m,lose,18,IBK 기업은행
118,2021.12.23,한국도로공사,2:3,101,111,2h 21m,lose,18,IBK 기업은행
132,2021.12.31,한국도로공사,0:3,53,75,1h 22m,lose,18,IBK 기업은행
180,2022.02.02,한국도로공사,3:1,94,85,1h 57m,win,18,IBK 기업은행
34,2021.11.04,KGC인삼공사,1:3,77,98,1h 57m,lose,18,IBK 기업은행
48,2021.11.12,KGC인삼공사,0:3,52,75,1h 20m,lose,18,IBK 기업은행
94,2021.12.09,KGC인삼공사,0:3,66,77,1h 32m,lose,18,IBK 기업은행
168,2022.01.21,KGC인삼공사,3:0,75,47,1h 15m,win,18,IBK 기업은행
174,2022.01.30,KGC인삼공사,3:2,111,100,2h 13m,win,18,IBK 기업은행
226,2022.03.20,KGC인삼공사,3:1,101,80,1h 53m,win,18,IBK 기업은행
10,2021.10.21,흥국생명,1:3,83,97,2h 01m,lose,18,IBK 기업은행
66,2021.11.23,흥국생명,3:0,77,64,1h 33m,win,18,IBK 기업은행
110,2021.12.18,흥국생명,0:3,72,79,1h 34m,lose,18,IBK 기업은행
158,2022.01.15,흥국생명,3:2,111,107,2h 13m,win,18,IBK 기업은행
203,2022.02.26,흥국생명,3:0,75,53,1h 20m,win,18,IBK 기업은행
207,2022.03.02,흥국생명,1:3,92,96,1h 55m,lose,18,IBK 기업은행
26,2021.10.30,GS 칼텍스,1:3,78,98,1h 49m,lose,18,IBK 기업은행
74,2021.11.27,GS 칼텍스,0:3,61,75,1h 24m,lose,18,IBK 기업은행
104,2021.12.15,GS 칼텍스,0:3,43,75,1h 12m,lose,18,IBK 기업은행
